*******Working on gbb20001000

 ====== Comparing SRGbbB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  6.15      3.93      56.47
                                        Size(jets) >= 5 :  6.11      3.92      55.83
                                             MET >= 600 :  3.59      2.60      37.90
                                           meff >= 2900 :  1.35      2.60     -48.03
            size(bjets) >= 3 ? mtminbjets3 >= 120 : ALL :  1.31      1.07      21.99
            size(bjets) == 2 ? mtminbjets2 >= 120 : ALL :  1.27      1.07      18.30
            size(bjets) == 1 ? mtminbjets1 >= 120 : ALL :  1.25      1.07      17.00
             size(largejets) >= 4 ? mjsum4 >= 300 : ALL :  1.24      1.00      24.01
             size(largejets) == 3 ? mjsum3 >= 300 : ALL :  1.23      1.00      22.96
             size(largejets) == 2 ? mjsum2 >= 300 : ALL :  1.22      1.00      22.65
             size(largejets) == 1 ? mjsum1 >= 300 : ALL :  1.22      1.00      22.65

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                     Size(leptons) == 0 :  70.83     44.35     59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  76.70     78.29    -2.02
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  99.99     100.00   -0.01
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  100.00    100.00    0.00
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  100.00    100.00    0.00
                                        Size(jets) >= 5 :  99.34     99.75    -0.41
                                             MET >= 600 :  58.69     66.33    -11.51
                                           meff >= 2900 :  37.69     100.00   -62.31
            size(bjets) >= 3 ? mtminbjets3 >= 120 : ALL :  96.59     41.15     134.71
            size(bjets) == 2 ? mtminbjets2 >= 120 : ALL :  96.98     100.00   -3.02
            size(bjets) == 1 ? mtminbjets1 >= 120 : ALL :  98.90     100.00   -1.10
             size(largejets) >= 4 ? mjsum4 >= 300 : ALL :  98.76     93.18     5.99
             size(largejets) == 3 ? mjsum3 >= 300 : ALL :  99.15     100.00   -0.85
             size(largejets) == 2 ? mjsum2 >= 300 : ALL :  99.75     100.00   -0.25
             size(largejets) == 1 ? mjsum1 >= 300 : ALL :  100.00    100.00    0.00

 ====== Comparing SRGtt0LM1 :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  11.32     11.32     0.00
                                     Size(leptons) == 0 :  8.02      5.02      59.72
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  6.15      3.93      56.49
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  6.15      3.93      56.47
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  6.15      3.93      56.47
                   Size(jets) >= 9 and size(bjets) >= 3 :  1.51      2.34     -35.29
                                             MET >= 600 :  0.87      1.53     -43.27
                                           meff >= 1700 :  0.86      1.53     -43.47
                                     mtminbjets3 >= 120 :  0.78      1.36     -42.98
             size(largejets) >= 4 ? mjsum4 >= 300 : ALL :  0.74      1.17     -36.83
